公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1531,高林股,23.13,313.23,409.04,315.94,27.52,2.67,136.7,2.38,153.36,1.87,0.49,3.71,4.79,10.99,7.27,1.05,61.84,99.22,5.89
1532,勤美,50.61,210.17,158.65,62.33,10.08,3.62,100.82,0.95,384.21,1.48,0.43,3.49,6.07,44.43,6.97,1.36,14.81,34.29,3.63
1533,車王電,48.67,269.25,192.71,121.99,16.91,4.88,74.79,1.41,258.86,2.63,0.64,5.84,10.67,32.49,8.58,2.41,16.16,62.94,4.95
1535,中宇,50.82,2071.3,174.06,73.34,7029.93,12.87,28.36,0.47,776.59,58.92,1.4,8.98,19.69,69.3,6.58,5.5,-40.76,72.33,-44.48
1536,和大,55.17,149.14,158.69,95.13,18.71,4.38,83.33,2.43,150.2,1.19,0.61,10.79,23.12,36.84,16.8,3.06,51.16,109.49,9.37
1537,廣隆,27.15,323.21,338.45,154.91,136.42,8.59,42.49,3.74,97.59,6.82,1.64,16.56,23.1,110.03,10,8.09,61.93,94.19,2.47
1538,正峰新,60.26,139.69,130.67,117.99,-1.42,10.37,35.19,7.56,48.28,0.74,0.4,-1.62,-6.4,-6.4,-6.14,-0.64,-3.83,-30.56,-1.89
1539,巨庭,57.29,160.02,145.23,70.57,10.36,10.75,33.95,3.93,92.87,4.68,1.37,8.02,17.25,25.94,5.25,2.01,15.71,116.6,8.46
1540,喬福,22.4,382.01,364.95,242.68,1528.13,11.31,32.27,1.43,255.24,2.94,0.62,10.91,14.43,27.16,17.58,2.5,60.87,155.55,8.03
1541,錩泰,50.4,199.59,137.7,96.51,23.73,3.46,105.49,5.47,66.72,5.08,1.38,8.72,16.94,24.8,6.04,2.06,-4.99,1.5,-3.58
1558,伸興,25.63,299.71,317.16,269.95,2564.76,4.76,76.68,8.65,42.19,4.84,1.15,15.44,21.39,177.83,13.4,13.7,67.28,78.28,5.19
1560,中砂,27.43,152.31,200.76,114.65,1237.72,5.58,65.41,3.34,109.28,1.75,0.82,12.36,17.45,58.33,15,4.63,105.66,114.46,10.61
1568,倉佑,48.78,141.07,130.55,78.52,8.31,3.99,91.47,3.72,98.11,1.73,0.79,3.88,8.28,13.59,5.02,1.18,21.58,140.2,5.87
